StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_7_TEXT,Q3,Q3_4_TEXT,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q19_6_TEXT,Q20
1/3/2023 20:33,1/3/2023 20:37,IP Address,71.60.38.248,100,262,True,1/3/2023 20:37,R_3s4XNP7GIxy07Hk,,,,,40.4725,-79.9109,anonymous,EN,15239,Regency Park,,Townhouse,,Rent,1-4 years,2 boxers,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a day,At least once a week,Keeps rodents under control ,Wildlife minimal rodents excellent ,Yes rodent control could become an issue ,No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,55 or older
1/3/2023 21:13,1/3/2023 21:15,IP Address,71.60.108.165,100,128,True,1/3/2023 21:15,R_OkWywb2gf7p2yiZ,,,,,40.476,-79.7355,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,Over 10 years,"2- 1 cat, 1 dog",No,Yes,Yes,At least once a day,At least once a day,"My neighbor took our deceased fathers cat which l lived outside. She’s spayed, and taken care of.",Not great enough to worry,"Possibly a difference, but would be difficult",No,Yes,Trapping and taking to a shelter,Female,White,,18-24
1/3/2023 22:45,1/3/2023 22:48,IP Address,73.214.106.102,100,184,True,1/3/2023 22:48,R_DpK0WVBUB0iplrb,,,,,40.476,-79.7355,anonymous,EN,,One not mentioned above:,Shangri La Townhomes,Townhouse,,Rent,Less than one year,2 cats,No,Yes,Yes,I never see free-roaming cats in my neighborhood.,I never interact with free-roaming cats in my neighborhood.,I feel that free roaming cats are cause no real issue - my old place of residence I would see some ,,,No,No,Do nothing,Female,White,,18-24
1/3/2023 22:57,1/3/2023 23:02,IP Address,173.75.48.110,100,319,True,1/3/2023 23:02,R_2P6VkSKsCxEy2c4,,,,,40.476,-79.7355,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,Over 10 years,1 cat,Yes,Yes,Yes,At least once a day,I never interact with free-roaming cats in my neighborhood.,They drive my car crazy. ,Kitty brings me chipmunks and mice.,Small rodents would take over. ,Yes,No,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,55 or older
1/3/2023 23:03,1/3/2023 23:14,IP Address,173.75.45.212,100,655,True,1/3/2023 23:14,R_1K7vw4zUxkMFGUk,,,,,40.4562,-79.8163,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,Over 10 years,1 cat,No,Yes,No,At least once a month,At lease once a month,"Beyond the fact that it is dangerous for THEM, it is not at a level that bothers me.","Well, they are predictors, by nature; circle of life. ","I probably wouldn’t notice it, but I would HOPE that it would be done humanly. I’ve heard about some pretty successful, capture, spay/neuter, and release programs. I do know from personal experience, that it can be very challenging to keep an “outdoor” cat, indoors.  ",No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,55 or older
1/3/2023 23:27,1/3/2023 23:30,IP Address,73.79.163.29,100,174,True,1/3/2023 23:30,R_6llrd8eSQkP897X,,,,,40.5662,-79.7078,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,Over 10 years,2 cats 2 dogs,No,Yes,Yes,At least once a month,Rarely (once every 2-3 months),I believe it is unsafe for the cats to free roam. Seen too many hit by cars! ,Outdoor cats are an invasive species. ,Not sure. ,Yes,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,18-24
1/4/2023 0:01,1/4/2023 0:05,IP Address,174.203.129.16,100,259,True,1/4/2023 0:05,R_TobzIpuIYdgLMAx,,,,,40.2257,-78.831,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,1-4 years,2 dogs,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a month,I never interact with free-roaming cats in my neighborhood.,"A nuisance. They leave small, dead animal parts on our walkway",A negative effect,No real feelings about this,No,Yes,Trapping and taking to a shelter,Female,White,,35-44
1/4/2023 0:40,1/4/2023 0:42,IP Address,73.214.106.246,100,132,True,1/4/2023 0:42,R_1kYSYN4RNKUhcUc,,,,,40.476,-79.7355,anonymous,EN,15239,Holiday Park,,Townhouse,,Rent,1-4 years,2 dogs ,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a day,I never interact with free-roaming cats in my neighborhood.,I feel bad for them being out in the cold & when they scratch at my back door in the middle of the night it keeps my dogs up which is frustrating ,Unsure,There would be less cat feces laying around the back of the house that my dogs try to eat and they won’t keep my dogs up all night ,No,No,Trapping and taking to a shelter,Female,White,,25-34
1/4/2023 7:28,1/4/2023 7:29,IP Address,72.77.36.23,100,101,True,1/4/2023 7:29,R_3HjiH9vPBuf5RBh,,,,,40.476,-79.7355,anonymous,EN,,East Oakmont,,Single-family home,,Own/mortgage,Over 10 years,,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a day,I never interact with free-roaming cats in my neighborhood.,,,,No,Yes,Trapping and euthanizing,Female,White,,35-44
1/4/2023 7:35,1/4/2023 7:37,IP Address,71.60.109.13,100,149,True,1/4/2023 7:37,R_eSdGDk13QLizdaV,,,,,40.476,-79.7355,anonymous,EN,,Holiday Park,,Single-family home,,Own/mortgage,1-4 years,I do not own any pets,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a day,Rarely (once every 2-3 months),I don’t care,Pest control,None,No,No,Do nothing,Female,White,,25-34
1/4/2023 8:16,1/4/2023 8:20,IP Address,71.61.8.80,100,206,True,1/4/2023 8:20,R_1ifKz3eHLv99Cjz,,,,,40.3214,-80.0378,anonymous,EN,15239,Unity,,Single-family home,,Own/mortgage,Over 10 years,3,No,Yes,Yes,I never see free-roaming cats in my neighborhood.,I never interact with free-roaming cats in my neighborhood.,I rarely see free-roaming cats anywhere in Plum. ,There are other wildlife that cause bigger problems.,I rarely see free-roaming cats in Plum ,No,No,Do nothing,Female,White,,35-44
1/4/2023 9:08,1/4/2023 9:14,IP Address,74.109.228.107,100,335,True,1/4/2023 9:14,R_3kjJSCyu2meEy05,,,,,40.476,-79.7355,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,Over 10 years,Dog,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a day,I never interact with free-roaming cats in my neighborhood.,I think cats should be kept in doors. My dog needs a license. Needs to stay in my yard. ,I think they kill animals because it’s in there nature. They are not killing them for food. ,I think it would be better for them as well. They get hit by cars or lost. They get in our garbage and make a mess. ,No,Yes,Trapping and taking to a shelter,Female,White,,45-54
1/4/2023 11:50,1/4/2023 11:58,IP Address,108.32.53.128,100,465,True,1/4/2023 11:58,R_2fMJ7ZRaR6reJ0d,,,,,40.476,-79.7355,anonymous,EN,,One not mentioned above:,Edgemede,Single-family home,,Own/mortgage,Over 10 years,1 dog,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,Rarely (once every 2-3 months),I never interact with free-roaming cats in my neighborhood.,I have no feelings about them,Control,"There would be more mice, rats, etc. Perhaps more birds but definitely more mice, rabbits, weasels ",No,No,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,55 or older
1/4/2023 20:28,1/4/2023 20:31,IP Address,24.131.114.54,100,181,True,1/4/2023 20:31,R_2UX7ItmmDon366w,,,,,40.476,-79.7355,anonymous,EN,15239,Renton Junction,,Single-family home,,Own/mortgage,Over 10 years,1,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a week,At least once a week,Don’t mind…live partly in the woods and we like how they can keep the mice population down,None,None,No,No,Do nothing,Female,White,,35-44
1/4/2023 22:41,1/4/2023 22:46,IP Address,74.109.227.238,100,246,True,1/4/2023 22:46,R_25zKxQcTEI0Iynq,,,,,40.476,-79.7355,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,Over 10 years,1,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a day,Rarely (once every 2-3 months),I prefer that they are not roaming.  They have pooped in our yard and it leaves an odor.,,Our yard would be cleaner.,Yes,Yes,Trapping and taking to a shelter,Female,White,,55 or older
1/6/2023 19:22,1/6/2023 19:30,IP Address,98.239.244.44,100,503,True,1/6/2023 19:30,R_ZeII9Ev3qlZxxZf,,,,,40.2023,-79.7588,qr,EN,,Holiday Park,,Townhouse,,Rent,1-4 years,1 cat,No,Yes,Yes,At least once a week,I never interact with free-roaming cats in my neighborhood.,They’re alright. They don’t really bother anything.,Good pest control probably.,Wouldn’t really change all that much.,No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Male,White,,18-24
1/6/2023 20:37,1/6/2023 20:39,IP Address,24.2.124.11,100,121,True,1/6/2023 20:39,R_1jIYeJkQDa0zqZK,,,,,40.476,-79.7355,anonymous,EN,,Renton Junction,,Single-family home,,Own/mortgage,5-10 years,I do not own any pets ,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a week,I never interact with free-roaming cats in my neighborhood.,"I think they’re cute. They don’t bother me, but I feel bad when it’s cold.",I don’t think they are a detriment to native wildlife.,Probably would be more rats/mice/rodents,No,No,Do nothing,Female,White,,25-34
1/8/2023 11:54,1/8/2023 11:59,IP Address,98.239.244.44,100,284,True,1/8/2023 11:59,R_3lS4DYyECiKV6ww,,,,,40.2023,-79.7588,qr,EN,15239,Holiday Park,,Townhouse,,Rent,Over 10 years,I do not own any pets. ,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a month,I never interact with free-roaming cats in my neighborhood.,Dirty,It’s the circle of life,Feel good. Never mixes well with dogs ,No,Yes,Hunting,Male,White,,35-44
1/3/2023 14:44,1/3/2023 14:46,IP Address,71.60.109.2,91,145,False,1/10/2023 14:46,R_cHjXrk5xlLiqiRP,,,,,,,anonymous,EN,15068,Logan Ferry Heights,,Single-family home,,Own/mortgage,1-4 years,0,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a day,At least once a day,They are destroying property ,None,Even though they are cute I would not mind if they were gone ,No,No,Trapping and taking to a shelter,Female,White,,35-44
1/3/2023 14:51,1/3/2023 14:53,IP Address,71.60.9.120,91,111,False,1/10/2023 14:53,R_vlzZXaRJ8tlwfJL,,,,,,,anonymous,EN,15239,Holiday Park,,Townhouse,,Rent,1-4 years,2,No,Yes,Yes,At least once a week,Rarely (once every 2-3 months),I feel bad and wish they were inside. ,I worry about diseases being spread. ,Everyone’s animals will be safer. ,No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,18-24
1/3/2023 15:00,1/3/2023 15:07,IP Address,174.203.107.248,91,395,False,1/10/2023 15:07,R_2Vm63rqEOhXgslW,,,,,,,anonymous,EN,,Regency Park,,Single-family home,,Own/mortgage,1-4 years,1,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a week,Rarely (once every 2-3 months),Mixed thoughts on this. My neighbor is a hoarder so at first I was glad there were cats around to control the potential rodents that could living in my neighbors yard. But I don’t like that the cats walk through my yard for a few reasons. I don’t want them killing our birds and rabbits that hang out harmlessly. Additionally I worry about the spread of diseases.  ,A direct effect as I think they are likely killing off some of the birds and rabbits that enjoy my backyard ,My only worry is due to my hoarder neighbor. I worry that if the cats were gone that other rodants would start popping up in our yard (rats) due to all the junk and trash in her yard. ,No,Yes,Trapping and taking to a shelter,Female,White,,25-34
1/3/2023 15:06,1/3/2023 15:09,IP Address,71.60.106.29,91,169,False,1/10/2023 15:09,R_YQxLRSGfNrmPhp7,,,,,,,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,5-10 years,5,No,Yes,Yes,At least once a day,Rarely (once every 2-3 months),Awful. Most end up hit by cars. I don’t live cats living outside in the winter or at all. ,"They kill birds, chipmunks, mice. They could get rabies or pass ticks. ","I don’t think it would change. People feed strays, take them in, some trap n release. Others just let their cats outside to be outdoor pets ",No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,35-44
1/3/2023 15:09,1/3/2023 15:20,IP Address,107.77.225.118,91,698,False,1/10/2023 15:20,R_21aJR3MAwhBmaAW,,,,,,,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,Over 10 years,1 cat,No,Yes,Yes,Rarely (once every 2-3 months),Rarely (once every 2-3 months),I like free-roaming cats because it’s exciting to see them—I love cats—however I do worry about their health. I’ve stopped letting my cats roam the neighborhood out of concerns for their health.,"I think they help to control some pest populations such as mice. When I had free-roaming cats, they often killed mice. They would also kill birds and small animals like rabbits, which I’m sure has a more negative effect.","I’m sure I would see fewer small animals wandering around, but I’m not sure how else it would change.",No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,18-24
1/3/2023 15:38,1/3/2023 15:44,IP Address,71.60.109.209,91,365,False,1/10/2023 15:44,R_1M0ywmKOeDnL5UB,,,,,,,anonymous,EN,15239,One not mentioned above:,,Single-family home,,Own/mortgage,5-10 years,2 dogs (Golden Retrievers),I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a month,At lease once a month,It makes me sad to see them foraging for food and I worry about them finding shelter in cold temperatures,"Good for pest control, I often see them around our shed which has housed mice in the past",Not sure by what means that would be occurring but I would like to see less cats being victim to getting hit by cars,No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,25-34
1/3/2023 15:43,1/3/2023 15:47,IP Address,24.2.125.20,91,242,False,1/10/2023 15:47,R_2cBn3FVZNIqvN2V,,,,,,,anonymous,EN,15068,One not mentioned above:,Ramparts,Single-family home,,Own/mortgage,Over 10 years,1,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a day,I never interact with free-roaming cats in my neighborhood.,I don’t like free roaming cats as I feel they need a home to survive and can hurt other animals and people around them.,They probably kill and hurt other animals that live in nature.,Pet owners wouldn’t have to worry about their animals being outside and interacting with a free roaming cat. ,No,Yes,Trapping and taking to a shelter,Female,White,,18-24
1/3/2023 15:47,1/3/2023 15:50,IP Address,198.184.147.126,91,166,False,1/10/2023 15:50,R_2CrF6Gk0Au6UaTU,,,,,,,anonymous,EN,15239,Holiday Park,,Townhouse,,Rent,5-10 years,2 cats,No,Yes,Yes,Rarely (once every 2-3 months),Rarely (once every 2-3 months),"They made me feel sad as I never know if they are strays, feral cats, or someone’s pet who got out. ",I think they help control the rodent population. ,I don’t think much would change as I don’t see them often. ,No,No,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,25-34
1/3/2023 15:41,1/3/2023 15:51,IP Address,72.65.251.137,91,594,False,1/10/2023 15:51,R_3havYFTChPwTsdu,,,,,,,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,Over 10 years,"1 dog, 2 cats, ",No,Yes,No,At least once a week,Rarely (once every 2-3 months),I dont like that people let their cats roam. A domesticated cat should be indoors only. ,They do help control some of the population ,My dog would be more calm as she wants to catch and play with the free roaming cats,No,No,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,35-44
1/3/2023 16:26,1/3/2023 16:28,IP Address,71.60.9.66,91,148,False,1/10/2023 16:29,R_2sckZCDEA8dFBWE,,,,,,,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,Over 10 years,1 dog,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a month,Rarely (once every 2-3 months),"I’m okay with it because I love animals, but I think they should be neutered or spayed due to the overpopulation of stray or free-roaming cats. ",I think it can impact food chains ,I don’t think it would be heavily impacted,No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,18-24
1/3/2023 17:11,1/3/2023 17:14,IP Address,166.198.21.70,91,191,False,1/10/2023 17:14,R_2zovXIjcH4VSkdS,,,,,,,anonymous,EN,15239,One not mentioned above:,Frankstown Acres,Single-family home,,Own/mortgage,Over 10 years,3,No,Yes,No,At least once a day,At lease once a month,Like them as long as they are fixed. They keep the mice down around the homes,Reduces mouse population and can disrupt birds lives ,The area would become more rodent filled as cats are a main predator for rodents.,No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,35-44
1/3/2023 17:12,1/3/2023 17:20,IP Address,107.122.189.50,91,483,False,1/10/2023 17:20,R_3QQ80fjhMT6irDr,,,,,,,anonymous,EN,,One not mentioned above:,Rustic Ridge,Single-family home,,Own/mortgage,Over 10 years,2,No,Yes,Yes,At least once a month,I never interact with free-roaming cats in my neighborhood.,I am okay with cats who have been spayed/neutered and have been vaccinated. I am against unaltered cats who are not vaccinated. ,"Some effects, but I think the cats who are owned and domesticated do not kill as frequently as the feral cats who rely on the wild life as their only source of food. ",I think most of the neighbors would be happy about it. I’ve heard complaints about the cats laying on patio furniture and finding dead kittens in their kid’s sandboxes. ,Yes,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,35-44
1/3/2023 18:46,1/3/2023 18:49,IP Address,100.6.54.210,91,178,False,1/10/2023 18:49,R_2zLLGLzNpjc6xoR,,,,,,,anonymous,EN,15068,East Oakmont,,Single-family home,,Own/mortgage,5-10 years,5,No,Yes,Yes,At least once a month,I never interact with free-roaming cats in my neighborhood.,I’m ok to a degree if they have to be TNR because of their demeanor ,I’m sure it can have an effect depending on what type of roaming cat it is. ,I’d be ok with it. ,No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,35-44
1/3/2023 19:12,1/3/2023 19:15,IP Address,24.131.114.91,91,189,False,1/10/2023 19:15,R_Wf9KR3LEPGPHXOx,,,,,,,anonymous,EN,,Unity,,Single-family home,,Own/mortgage,5-10 years,7 cats,No,Yes,Yes,At least once a day,At least once a week,I have engaged in a TNR program with the cats in my area. I have been moderately successful,Free roaming cats can cause a lot of damage to native wildlife ,"I’d be sad as I’ve become friendly with some of the neighborhood cats, but I also understand their impact",No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,35-44
1/10/2023 19:21,1/10/2023 19:23,IP Address,174.203.132.51,100,135,True,1/10/2023 19:23,R_3CTNJkiNTEMHV4x,,,,,40.4298,-78.4408,qr,EN,15239,Holiday Park,,Apartment building,,Rent,5-10 years,I do not own any pets,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a month,I never interact with free-roaming cats in my neighborhood.,I don’t mind them I think they can live in the wild,Bigger tribes of wild cats,Not much I don’t notice any,Yes,No,"Trapping, sterilizing, vaccinating, returning to original location",Male,White,,18-24
1/3/2023 19:31,1/3/2023 19:45,IP Address,108.32.53.80,91,797,False,1/10/2023 19:45,R_UXgQSLCljNCDhwR,,,,,,,anonymous,EN,15239,Unity,,Single-family home,,Own/mortgage,Over 10 years,5- cats,No,Yes,Yes,At least once a day,At least once a day,"There is a free roaming cat that I feed, she isn’t friendly but I was sure to trap her and her boyfriend ( before he died)and got them fixed. They weren’t adoptable and I didn’t want them put down, they’ve never been a problem, and have caught some rodents. They are not a bother. ","I generally don’t think there is an issue. Circle of life people say, the cats are doing what they naturally do, before we showed up. ",There would be more rodents,No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,45-54
